Search[0]: 215
Insert[0]: 71
Search[1]: 68
Insert[1]: 69
Search[2]: 80
Insert[2]: 53
Search[3]: 105
Insert[3]: 42
Search[4]: 73
Insert[4]: 35
Search[5]: 63
Insert[5]: 31
Search[6]: 84
Insert[6]: 30
Search[7]: 73
Insert[7]: 31
Search[8]: 95
Insert[8]: 30
Search[9]: 83
Insert[9]: 30
Search[10]: 83
Insert[10]: 30
Search[11]: 85
Insert[11]: 30
Search[12]: 73
Insert[12]: 30
Search[13]: 101
Insert[13]: 30
Search[14]: 62
Insert[14]: 30
Search[15]: 60
Insert[15]: 30
Search[16]: 62
Insert[16]: 30
Search[17]: 62
Insert[17]: 30
Search[18]: 60
Insert[18]: 30
Search[19]: 108
Insert[19]: 30
Search[20]: 82
Insert[20]: 30
Search[21]: 71
Insert[21]: 30
Search[22]: 63
Insert[22]: 30
Search[23]: 82
Insert[23]: 31
Search[24]: 62
Insert[24]: 31
Search[25]: 82
Insert[25]: 30
Search[26]: 71
Insert[26]: 30
Search[27]: 60
Insert[27]: 30
Search[28]: 73
Insert[28]: 30
Search[29]: 62
Insert[29]: 30
Search[30]: 82
Insert[30]: 30
Search[31]: 72
Insert[31]: 30
Search[32]: 72
Insert[32]: 30
Search[33]: 74
Insert[33]: 30
Search[34]: 86
Insert[34]: 226
Search[35]: 84
Insert[35]: 31
Search[36]: 63
Insert[36]: 31
Search[37]: 71
Insert[37]: 30
Search[38]: 91
Insert[38]: 30
Search[39]: 87
Insert[39]: 30
Search[40]: 94
Insert[40]: 30
Search[41]: 95
Insert[41]: 30
Search[42]: 82
Insert[42]: 30
Search[43]: 84
Insert[43]: 31
Search[44]: 82
Insert[44]: 30
Search[45]: 99
Insert[45]: 175
Search[46]: 73
Insert[46]: 30
Search[47]: 92
Insert[47]: 29
Search[48]: 288
Insert[48]: 30
Search[49]: 279
Insert[49]: 29
Search[50]: 81
Insert[50]: 29
Search[51]: 97
Insert[51]: 30
Search[52]: 79
Insert[52]: 30
Search[53]: 93
Insert[53]: 29
Search[54]: 251
